vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,battery_risk
V001,EV,north,2024-12-28 23:48:00,71.8,56928,Active,v2.2,Healthy
V002,EV,airport,2024-04-21 16:14:00,67.9,159368,InRepair,v2.2,Warning
V003,CargoVan,north,2025-11-24 23:59:00,91.7,219359,Active,v2.1,Healthy
V004,Hybrid,riverside,2024-06-07 13:21:00,,36310,Active,v2.2,Unknown
V005,CargoVan,west,2025-11-15 11:08:00,58.6,146638,Active,v2.2,Warning
V006,EV,central,2025-11-22 06:39:00,78.6,141381,Active,v2.1,Healthy
V007,Diesel,airport,2025-09-17 08:52:00,68.6,78468,Active,v2.2,Warning
V008,EV,riverside,2025-06-14 03:47:00,90.5,49711,Active,v2.0,Healthy
V009,CargoVan,south,2025-05-01 08:50:00,68.8,156687,Active,v2.1,Warning
V010,CargoVan,north,2025-10-07 22:40:00,50.7,129032,InRepair,v2.1,Warning
V011,Diesel,riverside,2025-12-21 04:26:00,74.1,43518,InRepair,v2.1,Healthy
V012,Hybrid,south,2024-04-15 00:26:00,56.2,52021,Active,v2.1,Warning
V013,CargoVan,west,2025-07-17 18:07:00,68.3,153106,Scheduled,v2.0,Warning
V014,EV,airport,2025-05-24 12:36:00,100.0,206339,Scheduled,v2.0,Healthy
V015,CargoVan,airport,2024-06-02 13:54:00,78.2,67614,InRepair,v1.9,Healthy
V016,EV,west,2024-10-13 19:38:00,63.5,84395,Active,v2.1,Warning
V017,Hybrid,riverside,2024-04-23 12:54:00,82.4,169703,InRepair,v2.2,Healthy
V018,Diesel,riverside,2025-04-08 22:29:00,86.8,98363,Scheduled,v2.1,Healthy
V019,Diesel,south,2024-10-21 23:22:00,70.4,151460,Scheduled,v2.2,Healthy
V020,Hybrid,riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1,Healthy
V021,Diesel,central,2025-06-22 17:38:00,83.0,71294,Active,v2.2,Healthy
V022,Hybrid,south,2025-01-28 20:20:00,89.6,44499,Scheduled,v2.1,Healthy
V023,Hybrid,east,2024-01-07 23:54:00,70.7,188387,Active,v2.1,Healthy
V024,EV,east,2025-05-26 12:28:00,74.9,56967,Active,v2.1,Healthy
V025,Diesel,airport,2024-11-03 05:34:00,42.0,52074,Active,v2.1,Critical
V026,CargoVan,riverside,2024-11-07 04:27:00,78.7,200276,InRepair,v2.2,Healthy
V027,Diesel,south,2025-08-12 12:37:00,78.6,51052,InRepair,v2.2,Healthy
V028,EV,east,2024-08-25 02:52:00,75.4,149698,Active,v2.0,Healthy
V029,EV,north,2024-12-04 10:53:00,,130270,Active,v2.0,Unknown
V030,CargoVan,north,2025-09-14 07:20:00,78.0,134360,Active,v2.1,Healthy
V031,EV,east,2024-07-28 13:57:00,89.3,193526,Active,v1.9,Healthy
V032,CargoVan,north,2024-01-11 00:03:00,74.1,102207,Active,v1.9,Healthy
V033,EV,airport,2024-09-19 18:57:00,78.6,55241,InRepair,v2.2,Healthy
V034,EV,riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0,Healthy
V035,CargoVan,east,2025-07-03 09:34:00,83.6,73804,Active,v2.0,Healthy
V036,Diesel,north,2025-09-26 13:33:00,90.4,215767,InRepair,v2.1,Healthy
V037,CargoVan,south,2025-06-13 23:43:00,56.6,52146,InRepair,v1.9,Warning
V038,CargoVan,central,2025-03-16 12:29:00,81.6,68032,Active,v2.1,Healthy
V039,EV,east,2025-01-01 01:38:00,69.5,37024,InRepair,v1.9,Warning
V040,EV,central,2025-11-23 11:28:00,90.0,133770,Active,v2.0,Healthy
V041,EV,east,2024-01-11 21:04:00,78.4,88129,Active,v2.2,Healthy
V042,EV,east,2025-06-21 07:06:00,80.5,215870,InRepair,v1.9,Healthy
V043,EV,south,2025-02-23 11:32:00,76.4,149922,Scheduled,v2.0,Healthy
V044,EV,airport,2025-02-14 20:35:00,91.8,111243,Active,v2.2,Healthy
V045,EV,east,2025-08-10 04:56:00,88.0,190688,Active,v2.2,Healthy
V046,EV,north,2024-07-11 13:31:00,95.8,101425,Active,v1.9,Healthy
V047,EV,central,2025-02-15 14:49:00,93.7,134347,Scheduled,v2.2,Healthy
V048,Diesel,central,2025-10-01 18:21:00,76.1,87659,Active,v2.1,Healthy
V049,Diesel,east,2025-12-09 16:47:00,55.9,15278,Active,v2.2,Warning
V050,EV,riverside,2024-04-04 05:23:00,96.5,114188,Active,v2.1,Healthy
V051,EV,north,2024-11-21 11:04:00,87.8,141107,Active,v2.0,Healthy
V052,Hybrid,riverside,2024-11-14 16:11:00,95.4,182486,Active,v1.9,Healthy
V053,CargoVan,west,2024-04-23 20:57:00,73.7,122638,Scheduled,v2.0,Healthy
